id,name,child_link,description
1,Supabase,/server/supabase,"Search the Supabase docs for up-to-date guidance and troubleshoot errors quickly. Manage organizations, projects, databases, and Edge Functions, including migrations, SQL, logs, advisors, keys, and type generation, in one flow. Create and manage development branches to iterate safely, confirm costs up front, and merge changes to production with confidence."
2,Brave Search,/server/brave,"Visit https://brave.com/search/api/ for a free API key. Search the web, local businesses, images, videos, and news with rich, structured results. Refine results by country, language, freshness, and SafeSearch to pinpoint what you need. Generate concise summaries of findings to grasp key points faster."
3,Memory Tool,/server/@mem0ai/mem0-memory-mcp,"Store and retrieve user-specific memories to maintain context and make informed decisions based on past interactions. Utilize a simple API to add and search memories with relevance scoring, enhancing your application's ability to remember user preferences and interactions."
4,Exa Search,/server/exa,"Fast, intelligent web search and web crawling.

New mcp tool: Exa-code is a context tool for coding agents. It provides agents with fresh information about libraries, APIs, and SDKs with the purpose of reducing hallucinations."
5,Browserbase,/server/@browserbasehq/mcp-browserbase,"Provides cloud browser automation capabilities using Stagehand and Browserbase, enabling LLMs to interact with web pages, take screenshots, and run parallel sessions in a cloud browser environment."
6,Fetch,/server/@smithery-ai/fetch,A simple tool that performs a fetch request to a webpage.
7,Notion,/server/notion,"Search across your Notion workspace and connected sources to quickly find pages, databases, and users. View full page and database details for deeper context. Create and update pages, manage databases, move or duplicate content, and add comments to keep work organized."
8,Linear,/server/linear,"Manage issues, projects, cycles, and docs in Linear from one place. Create, update, and comment on issues; organize labels, statuses, and teams; and search docs and documentation. Stay on top of your work by listing assignments, projects, and upcoming cycles."
9,supermemory,/server/supermemory,"Supermemory's universal Memory MCP will save and bring your context everywhere you go - from Claude, Cursor, chatgpt or any AI tool."
10,Docfork,/server/@docfork/mcp,@latest documentation and code examples to 9000+ libraries for LLMs and AI code editors in a single tool call. Just add `use docfork` to your prompt for accurate and relevant answers.
11,Context7,/server/@upstash/context7-mcp,"Fetch up-to-date, version-specific documentation and code examples directly into your prompts. Enhance your coding experience by eliminating outdated information and hallucinated APIs. Simply add `use context7` to your questions for accurate and relevant answers."
12,Ref,/server/@ref-tools/ref-tools-mcp,"Provide your AI coding tools with token-efficient access to up-to-date technical documentation for APIs, services, libraries, and more. Enable powerful search and reading capabilities to help your agent find precise information from documentation and web pages. 

Learn more:  https://ref.tools

How is this different from Context7?
- Context7 works by looking up a library and giving you the 10k most relevant tokens. If you have 2 libraries, that's 20k tokens etc. It's unlikely you need all of that and it's costly. Ref uses on average 60% fewer tokens and up to 95% fewer (eg 500 tokens instead of 10000) in some cases.
- Ref supports indexing private GitHub repos and PDFs so you can bring your own context as well.

Want to chat or have a feature request?
- Reach out to hello@ref.tools and say hi!"
13,Toolbox,/server/@smithery/toolbox,Toolbox dynamically finds MCPs in the Smithery registry based on your agent's need.
14,Blockscout MCP Server,/server/@blockscout/mcp-server,"Provide AI agents and automation tools with contextual access to blockchain data including balances, tokens, NFTs, and contract metadata. Enable multi-chain support and deliver enhanced user experience with progress notifications for long-running queries. Facilitate seamless integration with AI hosts like Claude Desktop for blockchain data analysis."
15,Desktop Commander,/server/@wonderwhy-er/desktop-commander,"Execute terminal commands and manage files with diff editing capabilities. Coding, shell and terminal, task automation"
16,Hugeicons MCP Server,/server/@hugeicons/mcp-server,"Integrate Hugeicons seamlessly into your applications. Discover icons, access platform-specific usage instructions, and enhance your projects with comprehensive documentation and examples."
